Feature ID,NRNS - NRNSA - Expression values,NRNS - NRNSB - Expression values,NRNS - NRNSC - Expression values,NRS - NRSA - Expression values,NRS - NRSB - Expression values,NRS - NRSC - Expression values
Medtr0038s0070,0,0,0,0,0,0
Medtr0038s0080,2,0,0,1,1,1
Medtr0038s0110,0,0,0,0,0,0
Medtr0039s0040,0,0,0,0,0,0
Medtr0039s0050,0,0,0,0,0,0
Medtr0039s0060,0,0,0,0,0,0
Medtr0039s0080,40,38,29,16,15,25
Medtr0039s0090,0,0,0,0,0,0
Medtr0039s0180,0,0,0,0,0,0
Medtr0040s0030,0,0,0,0,0,0
Medtr0040s0040,0,0,0,0,0,0
Medtr0040s0060,0,0,0,0,0,0
Medtr0040s0110,31,28,35,27,32,19
Medtr0040s0140,131,119,99,128,137,123
Medtr0040s0150,0,0,0,0,0,0
Medtr0041s0030,2485,2836,2619,2331,3072,2461
Medtr0041s0050,0,0,0,0,0,0
Medtr0041s0060,0,0,0,0,0,0
Medtr0041s0080,0,0,0,0,0,0
Medtr0041s0100,0,0,0,0,0,1
Medtr0041s0110,0,0,0,0,0,0
Medtr0041s0120,0,0,0,0,0,0
Medtr0041s0130,2,0,1,2,2,1
Medtr0041s0140,0,0,0,1,0,0
Medtr0042s0030,1,0,0,0,0,0
Medtr0042s0040,0,0,0,0,0,0
Medtr0042s0070,0,0,0,0,0,0
Medtr0042s0100,0,0,0,0,0,0
Medtr0042s0120,0,0,0,0,0,0
Medtr0042s0130,0,3,4,4,5,2
Medtr0042s0170,0,0,0,1,0,0
Medtr0042s0190,493,563,533,564,601,607
